(559542564800282,0,0,0.9)
(559542564800282,0,0.5,0.9)
(559542564800282,0,0.9,0.9)
(559542564800084,0,0,0.9)
(559542564800084,0,0.5,0.9)
(559542564800084,0,0.9,0.9)
(559542564800083,0,0,0.9)
(559542564800083,0,0.5,0.9)
(559542564800083,0,0.9,0.9)
(559542564800286,0,0,0.9)
(559542564800082,0,0,0.9)
(559542564800082,0,0.5,0.9)
(559542564800082,0,0.9,0.9)
(559542564800232,0,0,0.9)
(559542564800232,0,0.5,0.9)
(559542564800232,0,0.9,0.9)
(559542564800231,0,0,0.9)
(559542564800231,0,0.5,0.9)
(559542564800231,0,0.9,0.9)
(559542564800304,0,0,0.9)
(559542564800304,0,0.5,0.9)
(559542564800304,0,0.9,0.9)
(559542564800228,0,0,0.9)
(559542564800228,0,0.5,0.9)
(559542564800228,0,0.9,0.9)
(559542564800227,0,0,0.9)
(559542564800227,0,0.5,0.9)
(559542564800227,0,0.9,0.9)
(559542564800226,0,0,0.9)
(559542564800226,0,0.5,0.9)
(559542564800226,0,0.9,0.9)
(559542564800225,0,0,0.9)
(559542564800225,0,0.5,0.9)
(559542564800225,0,0.9,0.9)
(559542564800224,0,0,0.9)
(559542564800224,0,0.5,0.9)
(559542564800224,0,0.9,0.9)
(559542564800298,0,0,0.9)
(559542564800298,0,0.5,0.9)
(559542564800298,0,0.9,0.9)
(559542564800067,0,0,0.9)
(559552564800067,0,0.5,0.9)
(559552564800067,0,0.9,0.9)
(559552564800066,0,0,0.9)
(559552564800066,0,0.5,0.9)
(559552564800066,0,0.9,0.9)
(559552564800073,0,0,0.9)
(559552564800073,0,0.5,0.9)
(559552564800073,0,0.9,0.9)
(559552564800072,0,0,0.9)
(559552564800072,0,0.5,0.9)
(559552564800072,0,0.9,0.9)
(559552564800071,0,0,0.9)
(559552564800071,0,0.5,0.9)
(559552564800071,0,0.9,0.9)
(559552564800070,0,0,0.9)
(559552564800070,0,0.5,0.9)
(559552564800070,0,0.9,0.9)
(559552564800069,0,0,0.9)
(559552564800069,0,0.5,0.9)
(559552564800069,0,0.9,0.9)
(559552564800068,0,0,0.9)
(559552564800068,0,0.5,0.9)
(559552564800068,0,0.9,0.9)
(559552564800067,0,0,0.9)
(559552564800067,0,0.5,0.9)
(559552564800067,0,0.9,0.9)
(559552564800066,0,0,0.9)
(559552564800066,0,0.5,0.9)
(559552564800066,0,0.9,0.9)
(559552564800027,0,0,0.9)
(559552564800027,0,0.5,0.9)
(559552564800027,0,0.9,0.9)
(559552564800026,0,0,0.9)
(559552564800026,0,0.5,0.9)
(559552564800026,0,0.9,0.9)
(559552564800186,0,0,0.9)
(559552564800186,0,0.5,0.9)
(559552564800186,0,0.9,0.9)
(559552564800159,0,0,0.9)
(559552564800159,0,0.5,0.9)
(559552564800159,0,0.9,0.9)
(559552564800191,0,0,0.9)
(559552564800191,0,0.5,0.9)
(559552564800191,0,0.9,0.9)
(559552564800084,0,0,0.9)
(559552564800084,0,0.5,0.9)
(559552564800084,0,0.9,0.9)
(559552564800083,0,0,0.9)
(559552564800083,0,0.5,0.9)
(559552564800083,0,0.9,0.9)
(559552564800082,0,0,0.9)
(559552564800082,0,0.5,0.9)
(559552564800082,0,0.9,0.9)
(559552564800091,0,0,0.9)
(559552564800091,0,0.5,0.9)
(559552564800091,0,0.9,0.9)
(559552564800092,0,0,0.9)
(559552564800092,0,0.5,0.9)
(559552564800092,0,0.9,0.9)
(559552564800079,0,0,0.9)
(559552564800079,0,0.5,0.9)
(559552564800079,0,0.9,0.9)
(559552564800078,0,0,0.9)
(559552564800078,0,0.5,0.9)
(559552564800078,0,0.9,0.9)
(559552564800077,0,0,0.9)
(559552564800077,0,0.5,0.9)
(559552564800077,0,0.9,0.9)
(559552564800076,0,0,0.9)
(559552564800076,0,0.5,0.9)
(559552564800076,0,0.9,0.9)
(559552564800075,0,0,0.9)
(559552564800075,0,0.5,0.9)
(559552564800075,0,0.9,0.9)
(559552564800074,0,0,0.9)
(559552564800074,0,0,0.9)
(559552564800074,0,0,0.9)
