(559542564800735,0,0)
(559542564800735,0,0.5)
(559542564800735,0,0.9)
(559542564800734,0,0)
(559542564800734,0,0.5)
(559542564800734,0,0.9)
(559542564800733,0,0)
(559542564800733,0,0.5)
(559542564800733,0,0.9)
(559542564800732,0,0)
(559542564800732,0,0.5)
(559542564800732,0,0.9)
(559542564800731,0,0)
(559542564800731,0,0.5)
(559542564800731,0,0.9)
(559542564800730,0,0)
(559542564800730,0,0.5)
(559542564800730,0,0.9)
(559542564800729,0,0)
(559542564800729,0,0.5)
(559542564800729,0,0.9)
(559542564800728,0,0)
(559542564800728,0,0.5)
(559542564800728,0,0.9)
(559542564800727,0,0)
(559542564800727,0,0.5)
(559542564800727,0,0.9)
(559542564800726,0,0)
(559542564800726,0,0.5)
(559542564800726,0,0.9)
(559542564800725,0,0)
(559542564800725,0,0.5)
(559542564800725,0,0.9)
(559542564800724,0,0)
(559542564800724,0,0.5)
(559542564800724,0,0.9)
(559542564800723,0,0)
(559542564800723,0,0.5)
(559542564800723,0,0.9)
(559542564800722,0,0)
(559542564800722,0,0.5)
(559542564800722,0,0.9)
(559542564800721,0,0)
(559542564800721,0,0.5)
(559542564800721,0,0.9)
(559542564800923,0,0)
(559542564800923,0,0.5)
(559542564800923,0,0.9)
(559542564800922,0,0)
(559542564800922,0,0.5)
(559542564800922,0,0.9)
(559542564800590,0,0)
(559542564800590,0,0.5)
(559542564800590,0,0.9)
(559542564800591,0,0)
(559542564800591,0,0.5)
(559542564800591,0,0.9)
(559542564800589,0,0)
(559542564800589,0,0.5)
(559542564800589,0,0.9)
(559542564800588,0,0)
(559542564800588,0,0.5)
(559542564800588,0,0.9)
(559542564800587,0,0)
(559542564800587,0,0.5)
(559542564800587,0,0.9)
(559542564800586,0,0)
(559542564800586,0,0.5)
(559542564800586,0,0.9)
(559552564800620,0,0)
(559552564800620,0,0.5)
(559552564800620,0,0.9)
(559552564800619,0,0)
(559552564800619,0,0.5)
(559552564800619,0,0.9)
(559552564800618,0,0)
(559552564800618,0,0.5)
(559552564800618,0,0.9)
(559552564800617,0,0)
(559552564800617,0,0.5)
(559552564800617,0,0.9)
(559552564800616,0,0)
(559552564800616,0,0.5)
(559552564800616,0,0.9)
(559552564800615,0,0)
(559552564800615,0,0.5)
(559552564800615,0,0.9)
(559552564800614,0,0)
(559552564800614,0,0.5)
(559552564800614,0,0.9)
(559552564800613,0,0)
(559552564800613,0,0.5)
(559552564800613,0,0.9)
(559552564800612,0,0)
(559552564800612,0,0.5)
(559552564800612,0,0.9)
(559552564800611,0,0)
(559552564800611,0,0.5)
(559552564800611,0,0.9)
(559552564800610,0,0)
(559552564800610,0,0.5)
(559552564800610,0,0.9)
(559552564800609,0,0)
(559552564800609,0,0.5)
(559552564800609,0,0.9)
(559552564800608,0,0)
(559552564800608,0,0.5)
(559552564800608,0,0.9)
(559552564800607,0,0)
(559552564800607,0,0.5)
(559552564800607,0,0.9)
(559552564800606,0,0)
(559552564800606,0,0.5)
(559552564800606,0,0.9)
(559552564800605,0,0)
(559552564800605,0,0.5)
(559552564800605,0,0.9)
(559552564800604,0,0)
(559552564800604,0,0.5)
(559552564800604,0,0.9)
(559552564800603,0,0)
(559552564800603,0,0.5)
(559552564800603,0,0.9)
(559552564800602,0,0)
(559552564800602,0,0.5)
(559552564800602,0,0.9)
(559552564800601,0,0)
(559552564800601,0,0.5)
(559552564800601,0,0.9)
(559552564800600,0,0)
(559552564800600,0,0.5)
(559552564800600,0,0.9)
(559552564800599,0,0)
(559552564800599,0,0.5)
(559552564800599,0,0.9)
(559552564800598,0,0)
(559552564800598,0,0.5)
(559552564800598,0,0.9)
(559552564800597,0,0)
(559552564800597,0,0.5)
(559552564800597,0,0.9)
(559552564800596,0,0)
