(559542564800125, 0, 0.5)
(559542564800125, 0, 0.9)
(559542564800923, 1, 0)
(559542564800923, 1, 0.5)
(559542564800923, 1, 0.9)
(559542564800922, 2, 0)
(559542564800922, 2, 0.5)
(559542564800922, 2, 0.9)	
(559552564800175, 3, 0)
(559552564800175, 3, 0.5)
(559552564800175, 3, 0.9)
(559552564800052, 4, 0)
(559552564800052, 4, 0.5)
(559552564800052, 4, 0.9)
(559552564800732, 5, 0)
(559552564800732, 5, 0.5)
(559552564800732, 5, 0.9)
(559552564800733, 6, 0)
(559552564800733, 6, 0.5)
(559552564800733, 6, 0.9)
(559562564800752, 7, 0)
(559562564800752, 7, 0.5)
(559562564800752, 7, 0.9)
(559562564801071, 8, 0)
(559562564801071, 8, 0.5)
(559562564801071, 8, 0.9)
(559562564800771, 9, 0)
(559562564800771, 9, 0.5)
(559562564800771, 9, 0.9)
(559562564800834, 10, 0)
(559562564800834, 10, 0.5)
(559562564800834, 10, 0.9)
(559562564800828, 11, 0)
(559562564800828, 11, 0.5)
(559562564800828, 11, 0.9)
(559562564800202, 12, 0)
(559562564800202, 12, 0.5)
(559562564800202, 12, 0.9)
(559562564800194, 13, 0)
(559562564800194, 13, 0.5)
(559562564800194, 13, 0.9)
(559562564801444, 14, 0)
(559562564801444, 14, 0.5)
(559562564801444, 14, 0.9)
(559562564801442, 15, 0)
(559562564801442, 15, 0.5)
(559562564801442, 15, 0.9)
(559562564801032, 16, 0)
(559562564801032, 16, 0.9)
(559562564700438, 16, 0)
